system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:191  debug_display_settings           [   0.08698] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08700] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08702] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08704] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08707] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08710] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08712] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08714] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08716] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08718] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08720] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08722] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08724] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08727] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08728] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08731] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08735] Single Buffer requirement not met.
